Ticket No.,Priority,WHO?,WHAT?,WHY?,DONE?,,Acceptance Criteria
19,2: should-be,Administrator,Be assigned to several departments,To oversee Multiple Departments,TRUE,TRUE,"When creating a department, the Owner assigns one or more Administrators to oversee it."
,,,,,,TRUE,During Administrator creation Owner can assign multiple Departments.
,,,,,,TRUE,"The ""Request Manager"" displays requests from all departments overseen by the Administrator."
,,,,,,TRUE,"The Administrator can filter the ""Request Manager"" and ""Employees List"" by a specific department."
,,,,,,TRUE,"In the ""Add Employee"" form, the Administrator selects which of their assigned departments the user belongs to."
,,,,,,TRUE,The Administrator can log working intervals for any Employee across all their assigned departments.
,,,,,,TRUE,Removing an Administrator from a department immediately revokes their access to that department’s data.
,,,,,,TRUE,"When an Administrator creates a request for an Employee, the selection list is limited to their assigned departments."
20,2: should-be,Administrator,Edit account for Employees,To make sure the system is up to date,TRUE,TRUE,"The system provides an ""Edit"" button on the Employee profile screen, accessible to Owner and Administrators."
,,,,,,TRUE,Administrators can only edit the profiles of Employees who belong to department they oversee.
,,,,,,TRUE,The edit form for Administrator allows for the modification of department assignment and vacation balance.
,,,,,,TRUE,"The edit form for Owner additionally allows for the modification of first name, surname, role, email and password."
,,,,,,TRUE,"If Owner edits a Users password, the User receives an email with new credentials."
,,,,,,TRUE,"If Owner edits a Users email, the User receives an email notification (to the new email)."
,,,,,,TRUE,The edit form for Administrator allows for the modification of department assignment.
,,,,,,TRUE,The system prevents an Administrator from editing their own information in profile.
21,3: could-be,All,Change language,To navigate the application in a preferred language,TRUE,TRUE,The sidebar provides buttons for language selection.
,,,,,,TRUE,The available languages are English and Ukrainian.
,,,,,,TRUE,"Upon selection, all labels, buttons, and system messages translate to the chosen language."
,,,,,,TRUE,Language preference is saved after logouts.
,,,,,,TRUE,The system defaults to English if no preference is set.
22,3: could-be,All,Visibility settings (e.g. light/dark mode),To increase ease of use of website,TRUE,TRUE,"The sidebar includes a toggle for ""Dark Mode"" and ""Light Mode""."
,,,,,,TRUE,The theme changes the background and text colors across all user screens.
,,,,,,TRUE,User can set a preference for Light/Dark mode which persists after logouts.
,,,,,,TRUE,"The system defaults to ""Light Mode"" if no preference has been set."
23,3: could-be,Administrator,Automatically log working hours,To make Administrator work easier,TRUE,TRUE,There exists default working hours for Department and Employee.
,,,,,,TRUE,Default working hours can be optionally set at registration of a Department/Employee.
,,,,,,TRUE,A Department/Employee can be edited by Administrator to add default working hours.
,,,,,,TRUE,"If no default hours are set for an Employee, Employee inherits Department working hours if they exist."
,,,,,,TRUE,"At midnight, the system logs a full working day for the following day based on default hours."
,,,,,,TRUE,"If Employee is on accepted unpaid leave, the system does not automatically add working hours."
,,,,,,TRUE,The Profile page displays the default working hours interval.
24,3: could-be,All,Change account password without being logged in,"To gain access to personal account in the case 
where the password was forgotten",TRUE,TRUE,"The login screen provides a ""I forgot my password"" form."
,,,,,,TRUE,"If clicked, it opens a pop-up where the User must input their email."
,,,,,,TRUE,If the email does not belong to any registered User the system displays an error.
,,,,,,TRUE,"The pop-up includes a button. If clicked, it sends a ""Password reset"" email."
,,,,,,TRUE,"The ""Password reset"" email contains a link. If followed, it leads to a page with fields: ""New Password"", ""Retype New Password""."
,,,,,,TRUE,"If the input in ""Retype New Password"" is not the same as in ""New Password"" the system will display an error."
,,,,,,TRUE,"The ""Password reset"" email automatically becomes expired after 15 minutes."
,,,,,,TRUE,"If User requests a new ""Password reset"" email the previous one automatically becomes expired."
,,,,,,TRUE,After changing password all existing sessions are invalidated.
